Year,1x1,1x2,1x3,1x4,1x5,2x1,2x2,2x3,2x4,2x5,3x1,3x2,3x3,3x4,3x5,4x1,4x2,4x3,4x4,4x5,5x1,5x2,5x3,5x4,5x5
2006,0.03560714285714286,-0.053388888888888895,0.196,0.69892,0.7867450980392158,0.11688888888888889,0.030473684210526313,0.1305,0.2525833333333333,0.6158928571428571,0.30158823529411766,0.13922222222222225,0.19275,0.5699411764705883,0.67171875,0.1519,0.08,0.44184210526315787,0.30334999999999995,0.48288461538461536,1.3138333333333332,0.46375,0.4527777777777778,0.3182142857142857,0.469
2007,0.5799000000000001,0.406875,0.40393333333333337,0.8055161290322581,1.1321355932203392,0.525,0.2719090909090909,0.34576190476190477,0.5768484848484849,0.6893421052631579,0.431125,-0.05558333333333334,0.337375,0.5459259259259259,0.34274193548387094,0.28675,0.20715,0.17474074074074075,0.25688,0.6187999999999999,0.02650000000000001,-0.03457142857142857,0.21755555555555556,0.2523870967741935,0.3865217391304348
2008,-0.5203030303030304,-0.6188235294117647,-0.4684285714285714,-0.4091818181818182,-0.6235405405405405,-0.5934516129032258,-0.44405,-0.5925294117647059,-0.47544444444444445,-0.5997,-0.5934444444444444,-0.6238076923076924,-0.5687272727272727,-0.5427500000000001,-0.6315,-0.636357142857143,-0.5676896551724139,-0.4870833333333333,-0.5819,-0.477375,-0.651264705882353,-0.5966190476190476,-0.4703333333333334,-0.508875,-0.231375
2009,0.42244444444444446,0.3608421052631579,0.3769047619047619,0.4078636363636364,3.2279607843137255,0.14285714285714285,0.40259259259259256,0.8481666666666666,0.7742142857142857,1.03371875,0.344375,0.5369411764705883,1.3612222222222221,0.7517857142857143,1.5127142857142857,0.6793333333333332,0.9385833333333333,1.0232258064516129,1.0809523809523809,0.724695652173913,0.7729374999999999,0.9028888888888889,0.9647777777777777,0.9260344827586207,0.6625
2010,-0.27349999999999997,-0.014916666666666674,0.0524516129032258,0.03292592592592592,0.10653658536585364,0.022100000000000012,0.0775,0.5205333333333333,0.09717391304347825,0.2831875,0.07445454545454545,0.24257894736842106,0.1980833333333333,0.21069565217391303,0.10593333333333335,0.043565217391304346,0.11,0.13313333333333333,0.13347619047619047,0.46857692307692306,0.19006666666666666,0.0908888888888889,0.05733333333333333,0.14278125,0.2033888888888889
2011,-0.47445000000000004,-0.308375,-0.2103076923076923,-0.13861904761904761,-0.29365,-0.4311,-0.3108461538461539,-0.22724999999999998,-0.15395238095238095,-0.17230434782608695,-0.2388421052631579,-0.0955,-0.11507142857142857,-0.10416666666666667,-0.3462692307692308,-0.3671333333333333,-0.22517647058823528,-0.1703181818181818,-0.14695,-0.22158333333333333,-0.29765384615384616,-0.31239285714285714,-0.21327272727272728,-0.22736363636363635,-0.09036363636363637
2012,0.1679166666666667,0.13246666666666665,0.0688095238095238,0.36047619047619045,1.4886153846153847,0.09033333333333333,0.08826315789473685,0.3018421052631579,0.4637222222222223,1.4435416666666667,0.11254545454545455,0.2586666666666667,0.2602,0.3914838709677419,0.3077714285714286,0.8361666666666667,0.25903846153846155,0.2708214285714286,0.4986153846153846,0.9588333333333333,0.10209523809523809,0.3865,0.342125,0.2649705882352941,0.26266666666666666
2013,-0.16293333333333332,-0.059461538461538455,0.11800000000000001,0.10700000000000001,0.40994444444444444,0.12125000000000001,-0.04800000000000001,0.13727777777777778,0.16089473684210526,0.3146521739130435,-0.08942857142857143,0.12466666666666666,0.05792307692307692,0.34996551724137936,2.6236315789473683,0.014100000000000001,0.12042307692307691,0.061222222222222226,0.14792857142857144,0.11045454545454546,0.19723529411764706,0.005590909090909091,0.011972972972972975,0.09917241379310344,0.22299999999999998
2014,0.5947272727272727,-0.28921428571428576,-0.07622222222222223,0.09770370370370372,-0.10163461538461539,-0.14300000000000002,0.02181818181818182,-0.058909090909090904,0.20099999999999998,-0.23283870967741935,-0.12642857142857142,-0.11683333333333334,-0.030045454545454542,0.030793103448275863,-0.004241379310344829,-0.192,0.004599999999999997,-0.0222,0.2916296296296296,-0.09455,-0.06954545454545455,-0.06170833333333333,0.08141463414634147,-0.016608695652173915,0.1553846153846154
2015,-0.15655555555555556,-0.29433333333333334,-0.0897142857142857,-0.0315,-0.03948571428571429,-0.3915172413793103,-0.1265625,0.06636842105263158,0.030600000000000006,0.009578947368421055,-0.1403793103448276,-0.09896428571428571,-0.21721739130434783,-0.07152173913043479,-0.1325714285714286,-0.2743157894736842,-0.11302702702702704,-0.059958333333333336,-0.09325,-0.008666666666666675,-0.20206666666666667,-0.14510256410256409,-0.11614705882352941,-0.04857142857142857,0.0009999999999999996
2016,-0.3121875,-0.3016842105263158,-0.15053846153846154,-0.0356923076923077,0.7306875,-0.21056,-0.05892,0.07147368421052631,0.018812499999999996,0.1732857142857143,-0.19089655172413791,-0.04952941176470588,0.02763636363636364,0.34925,0.2003,-0.19108333333333336,-0.0854848484848485,-0.08596296296296295,0.12191666666666667,-0.16354545454545455,-0.04806250000000001,-0.06075862068965517,0.002263157894736839,0.0806,0.25025
2017,0.45621428571428574,-0.06642105263157895,0.10070000000000001,-0.04952,0.10071052631578949,0.10769999999999999,0.3864444444444444,0.40592,0.2146470588235294,1.2074375,0.16952380952380952,0.031130434782608706,0.2501666666666667,0.43360869565217397,0.8439230769230769,-0.053733333333333334,0.07294594594594594,0.14847826086956523,0.30855,1.127,0.3603157894736842,0.2236086956521739,0.1402051282051282,0.12612903225806452,0.3844
2018,-0.2371764705882353,-0.23888235294117646,-0.358875,0.14115000000000005,-0.14161290322580644,-0.3409736842105263,-0.25066666666666665,-0.19153846153846155,-0.285,0.1703846153846154,-0.29138709677419355,-0.22023999999999996,-0.15275,0.03446666666666666,-0.22030000000000002,-0.34544444444444444,-0.1576896551724138,-0.1895238095238095,-0.22566666666666668,0.005749999999999995,-0.3408888888888889,0.002115384615384618,-0.13465116279069766,-0.06955,-0.0882
2019,-0.1545483870967742,-0.030785714285714284,-0.11652941176470588,0.05077272727272728,0.0702,-0.16152083333333334,-0.045720000000000004,0.2294782608695652,0.1407,-0.06553846153846153,-0.21429166666666666,0.03058333333333334,0.24047058823529413,0.2653888888888889,0.3844285714285714,-0.19784,0.01854545454545454,0.01695833333333333,0.07516666666666666,-0.0686,0.05866666666666667,-0.025384615384615387,0.04248648648648649,0.17785714285714288,0.11133333333333334
2020,0.16903125,0.12361111111111112,0.1231875,0.12844444444444444,0.1896875,-0.1823157894736842,0.051468749999999994,0.1292727272727273,1.2673157894736842,1.2819999999999998,0.06606896551724138,-0.10144444444444445,0.0066,0.4022857142857143,0.28114285714285714,-0.10855555555555556,-0.09088461538461538,-0.06864285714285714,0.11493333333333335,2.889,-0.0175,-0.11215,-0.12714634146341464,0.05673684210526315,-0.10842857142857143
2021,-0.021095238095238087,-0.025928571428571436,0.14589473684210524,0.12916,0.5470666666666666,0.021823529411764707,0.18875,0.22447058823529412,0.11699999999999999,0.5728181818181818,0.021695652173913053,0.36926315789473685,0.26108695652173913,0.24716666666666667,0.5406666666666666,0.004599999999999998,0.06812,0.1974736842105263,0.46705882352941175,0.4175714285714286,-0.008454545454545458,-0.043291666666666666,0.08902941176470588,0.04470588235294118,0.14614285714285716
2022,-0.26148275862068965,-0.17300000000000001,-0.22681818181818184,-0.14570000000000002,-0.1241,-0.11716129032258064,-0.17695833333333333,0.08214285714285714,0.07915,-0.100875,-0.07747619047619048,-0.015958333333333335,-0.03871428571428572,-0.14499999999999996,-0.11566666666666665,0.19761904761904758,-0.06890322580645161,-0.0655625,-0.06131578947368421,-0.14585714285714285,-0.119125,-0.201,0.1195,0.07625,-0.0365
